Overall,City,Latitude,Longitude,Planet,People,Profit,Progress
1,Amsterdam,52.3675734,4.9041389,6,42,1,11
2,Rotterdam,51.9244201,4.4777325,5,44,14,10
3,Copenhagen,55.6760968,12.5683371,2,11,15,26
4,Frankfurt,50.1109221,8.6821267,7,34,18,30
5,Munich,48.1351253,11.5819806,8,36,22,24
6,Oslo,59.9138688,10.7522454,1,8,28,96
7,Hamburg,53.5488282,9.987170299999999,9,10,42,27
8,Berlin,52.52000659999999,13.404954,3,26,53,20
9,Warsaw,52.2296756,21.0122287,25,4,39,14
10,London,51.5072178,-0.1275862,4,29,29,47
11,Seoul,37.550263,126.9970831,42,5,16,18
12,Stockholm,59.3327036,18.0656255,12,13,4,66
13,Edinburgh,55.953252,-3.188267,10,9,46,40
14,Paris,48.8575475,2.3513765,19,1,37,55
15,Dublin,53.3498053,-6.2603097,37,18,5,41
16,Vienna,48.20806959999999,16.3713095,16,2,56,42
17,Brussels,50.84770289999999,4.357200100000001,11,12,52,36
18,Singapore,1.352083,103.819836,36,48,13,25
19,Shanghai,31.230416,121.473701,45,24,24,6
20,Beijing,39.904211,116.407395,67,27,31,7
21,Zurich,47.3768866,8.541694,30,52,8,52
22,Tokyo,35.6764225,139.650027,41,7,50,29
23,Glasgow,55.86167039999999,-4.2583345,13,19,61,39
24,Shenzhen,22.5428599,114.05956,71,31,38,9
25,Perth,-31.9513993,115.8616783,61,22,23,28
26,Wellington,-41.2923814,174.7787463,43,53,40,16
27,Lisbon,38.7222524,-9.1393366,35,21,67,13
28,Budapest,47.497912,19.040235,39,30,60,15
29,Antwerp,51.2199302,4.414990299999999,17,41,63,34
30,Manchester,53.4807593,-2.2426305,14,15,68,46
31,Lyon,45.764043,4.835659,29,28,54,38
32,Melbourne,-37.8136276,144.9630576,58,17,32,35
33,Sydney,-33.8688197,151.2092955,57,16,33,37
34,Prague,50.0755381,14.4378005,38,6,59,44
35,San Francisco,37.7749295,-122.4194155,21,76,2,64
36,Vancouver,49.2827291,-123.1207375,44,38,19,61
37,Geneva,46.2043907,6.1431577,32,55,35,53
38,Brisbane,-27.4704528,153.0260341,47,37,47,33
39,Hong Kong,22.3193039,114.1693611,28,57,21,77
40,Birmingham,52.4822694,-1.8900078,15,35,73,45
41,Chengdu,30.5722599,104.0665099,72,51,62,3
42,Macau,22.198745,113.543873,40,49,69,17
43,Leeds,53.8007554,-1.5490774,20,25,71,50
44,Wuhan,30.5927599,114.30525,81,46,57,4
45,Riga,56.9676941,24.1056221,27,14,66,56
46,Guangzhou,23.1290799,113.26436,92,32,58,5
47,Marseille,43.3025742,5.369074299999999,23,50,64,43
48,New York,40.7127753,-74.0059728,22,74,9,72
49,Toronto,43.653226,-79.3831843,62,40,11,83
50,Madrid,40.41672790000001,-3.7032905,34,20,65,59
51,Athens,37.9838096,23.7275388,69,3,77,12
52,Calgary,51.04473309999999,-114.0718831,63,79,19,81
53,Los Angeles,34.0549076,-118.242643,18,79,17,74
54,Barcelona,41.3873974,2.168568,31,23,75,57
